method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
full_ft,bert-base-uncased,rte,1024,500,accuracy,0.592057761732852,109483778,100.0,3.0,0.592057761732852,0.7346987128257751,,0.592057761732852,0.2602,1064.632,69.182,
full_ft,bert-base-uncased,rte,123,500,accuracy,0.592057761732852,109483778,100.0,3.0,0.592057761732852,0.6943441033363342,,0.592057761732852,0.2821,981.885,63.805,
full_ft,bert-base-uncased,rte,42,500,accuracy,0.5270758122743683,109483778,100.0,3.0,0.5270758122743683,0.6942557096481323,,0.5270758122743683,0.2605,1063.191,69.088,
full_ft,bert-base-uncased,rte,456,500,accuracy,0.631768953068592,109483778,100.0,3.0,0.631768953068592,0.7051249742507935,,0.631768953068592,0.2467,1122.65,72.952,
full_ft,bert-base-uncased,rte,789,500,accuracy,0.5451263537906137,109483778,100.0,3.0,0.5451263537906137,0.7285380959510803,,0.5451263537906137,0.2719,1018.813,66.204,
gradaware_lora,bert-base-uncased,rte,1024,500,accuracy,0.5956678700361011,296450,0.2700395193203643,10.0,0.5956678700361011,0.9988465309143066,,0.5956678700361011,0.3402,814.179,52.907,
gradaware_lora,bert-base-uncased,rte,123,500,accuracy,0.5703971119133574,296450,0.2700395193203643,10.0,0.5703971119133574,1.0960932970046997,,0.5703971119133574,0.2843,974.452,63.322,
gradaware_lora,bert-base-uncased,rte,42,500,accuracy,0.5667870036101083,296450,0.2700395193203643,10.0,0.5667870036101083,0.8338561058044434,,0.5667870036101083,0.2827,979.889,63.675,
gradaware_lora,bert-base-uncased,rte,456,500,accuracy,0.6064981949458483,296450,0.2700395193203643,10.0,0.6064981949458483,0.9049432277679443,,0.6064981949458483,0.2777,997.525,64.821,
gradaware_lora,bert-base-uncased,rte,789,500,accuracy,0.5595667870036101,296450,0.2700395193203643,10.0,0.5595667870036101,1.0378957986831665,,0.5595667870036101,0.2803,988.173,64.213,
lora,bert-base-uncased,rte,1024,500,accuracy,0.5992779783393501,296450,0.2700395193203643,10.0,0.5992779783393501,1.0298254489898682,,0.5992779783393501,0.2739,1011.385,65.722,
lora,bert-base-uncased,rte,123,500,accuracy,0.5740072202166066,296450,0.2700395193203643,10.0,0.5740072202166066,1.0764777660369873,,0.5740072202166066,0.2862,967.992,62.902,
lora,bert-base-uncased,rte,42,500,accuracy,0.5776173285198556,296450,0.2700395193203643,10.0,0.5776173285198556,0.801021158695221,,0.5776173285198556,0.2949,939.353,61.041,
lora,bert-base-uncased,rte,456,500,accuracy,0.6245487364620939,296450,0.2700395193203643,10.0,0.6245487364620939,0.9239018559455872,,0.6245487364620939,0.2732,1014.066,65.896,
